Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0,1мкФ","C_0603_HandSoldering",109.050000,-81.850000,270.000000,top
"C2","4,7мкФ","C_0603_HandSoldering",122.650000,-53.650000,0.000000,top
"C3","0,1","C_0603_HandSoldering",108.700000,-97.800000,90.000000,top
"C4","0,1","C_0603_HandSoldering",110.200000,-97.800000,90.000000,top
"C5","0,1","C_0603_HandSoldering",111.700000,-97.800000,90.000000,top
"C6","0,1","C_0603_HandSoldering",113.200000,-97.800000,90.000000,top
"C7","0,1","C_0603_HandSoldering",114.700000,-97.800000,90.000000,top
"C8","0,1","C_0603_HandSoldering",116.200000,-97.800000,90.000000,top
"C9","0,01мкФ","C_0603_HandSoldering",115.300000,-55.100000,90.000000,top
"C10","4,7мкФ","C_0603_HandSoldering",122.650000,-56.050000,0.000000,top
"C11","0,1мкФ","C_0603_HandSoldering",107.000000,-81.850000,270.000000,top
"C12","0,1мкФ","C_0603_HandSoldering",110.550000,-81.850000,270.000000,top
"C13","0,1мкФ","C_0603_HandSoldering",114.600000,-65.850000,0.000000,top
"C14","10мкФ","TantalC_SizeA_EIA-3216_HandSoldering_mm",123.900000,-92.350000,270.000000,top
"C15","0,1мкФ","C_0603_HandSoldering",112.050000,-59.750000,270.000000,top
"DA1","LP2985AIM5-3.3","SOT-23-5_mm",118.300000,-54.850000,270.000000,top
"DD1","STM32F042K6Tx","TQFP-32_7x7mm_Pitch0.8mm",109.800000,-73.250000,90.000000,top
"R1","4k7","R_0603_HandSoldering",105.750000,-86.800000,180.000000,top
"R2","4k7","R_0603_HandSoldering",105.750000,-85.200000,180.000000,top
"R3","10k","R_0603_HandSoldering",101.000000,-76.050000,270.000000,top
"R4","10k","R_0603_HandSoldering",108.400000,-87.900000,270.000000,top
"R5","10k","R_0603_HandSoldering",110.000000,-87.900000,270.000000,top
"R6","10k","R_0603_HandSoldering",111.600000,-87.900000,270.000000,top
"R7","10k","R_0603_HandSoldering",113.200000,-87.900000,270.000000,top
"R8","10k","R_0603_HandSoldering",114.800000,-87.900000,270.000000,top
"R9","10k","R_0603_HandSoldering",116.400000,-87.900000,270.000000,top
"R10","10k","R_0603_HandSoldering",104.200000,-57.750000,90.000000,top
"R11","10k","R_0603_HandSoldering",102.600000,-57.750000,90.000000,top
"R12","10k","R_0603_HandSoldering",101.000000,-57.750000,90.000000,top
"R13","22R","R_0603_HandSoldering",109.800000,-63.250000,90.000000,top
"R14","22R","R_0603_HandSoldering",108.200000,-63.250000,90.000000,top
"VD1","USBLC6","SOT23-6L",109.000000,-58.800000,270.000000,top
