Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2u","C_0603_HandSoldering",170.350000,-75.150000,0.000000,top
"C2","2.2u","C_0603_HandSoldering",163.750000,-85.200000,0.000000,top
"C3","2.2u","C_0603_HandSoldering",163.750000,-86.700000,0.000000,top
"C4","0.1u","C_0603_HandSoldering",144.750000,-82.950000,0.000000,top
"C5","0.1u","C_0603_HandSoldering",175.300000,-88.050000,0.000000,top
"C6","0.1u","C_0603_HandSoldering",195.300000,-88.050000,0.000000,top
"C7","0.1u","C_0603_HandSoldering",144.750000,-85.700000,0.000000,top
"C8","0.1u","C_0603_HandSoldering",144.750000,-81.450000,0.000000,top
"C9","0.1u","C_0603_HandSoldering",129.400000,-78.400000,90.000000,top
"C10","4.7u","TantalC_SizeA_EIA-3216_mm",164.300000,-89.200000,0.000000,top
"C11","2.2u","C_0603_HandSoldering",192.750000,-95.100000,180.000000,top
"C12","0.1u","C_0603_HandSoldering",113.950000,-90.800000,0.000000,top
"C13","0.1u","C_0603_HandSoldering",124.600000,-94.350000,180.000000,top
"C14","0.1u","C_0603_HandSoldering",183.550000,-85.450000,0.000000,top
"C15","0.1u","C_0603_HandSoldering",187.450000,-85.450000,180.000000,top
"C16","0.1u","C_0603_HandSoldering",171.400000,-89.550000,180.000000,top
"DA1","LM1117-3.3","SOT-223",166.100000,-80.300000,90.000000,top
"DD1","74AHC1G125","SOT-23-5_mm",173.300000,-92.700000,90.000000,top
"DD2","STM32F042K6Tx","LQFP-32_7x7mm_Pitch0.8mm",136.200000,-82.200000,180.000000,top
"DD3","25LCxxx","SOIC-8_combo_Pitch1.27mm",132.850000,-92.450000,180.000000,top
"R1","10k","R_0603",151.800000,-95.100000,180.000000,top
"R2","10k","R_0603",155.600000,-95.100000,0.000000,top
"R3","10k","R_0603",170.100000,-94.400000,90.000000,top
"R4","22","R_0603",118.850000,-87.000000,180.000000,top
"R5","22","R_0603",118.850000,-88.600000,180.000000,top
"R6","10k","R_0603",140.600000,-93.100000,270.000000,top
"R9","10k","R_0603",180.350000,-84.450000,270.000000,top
"R10","10k","R_0603",190.650000,-84.450000,270.000000,top
"R11","10k","R_0603",124.600000,-90.500000,0.000000,top
"R12","10k","R_0603",138.800000,-97.450000,270.000000,top
"R13","4k7","R_0603",148.000000,-95.100000,0.000000,top
"R14","4k7","R_0603",148.000000,-93.600000,0.000000,top
"R15","10k","R_0603",159.400000,-95.100000,180.000000,top
"XS1","USB_B_Micro","USB_micro_Molex_47346-0001",102.050000,-83.000000,270.000000,top
